created_at,base,ticket1,ticket2,ticket3,exchange1,exchange2,exchange3,profit
2019-08-14T09:25:26.332Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,exmo,livecoin,1.8129
2019-08-14T09:25:26.323Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,gateio,livecoin,2.1305
2019-08-14T09:25:26.324Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,zb,livecoin,1.6667
2019-08-14T09:25:26.322Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,poloniex,livecoin,1.5412
2019-08-14T09:25:26.323Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,gateio,livecoin,1.7646
2019-08-14T09:25:26.321Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,hitbtc,livecoin,2.0071
2019-08-14T09:25:26.321Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,poloniex,livecoin,1.5414
2019-08-14T09:25:26.320Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,hitbtc,livecoin,1.7615
2019-08-14T09:25:26.320Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,kucoin,livecoin,1.987
2019-08-14T09:25:26.319Z,USD,USDT/USD,ETH/USDT,ETH/USD,bitfinex,kucoin,livecoin,1.1433
2019-08-14T09:25:26.318Z,USD,USDT/USD,LTC/USDT,LTC/USD,bitfinex,kucoin,livecoin,1.0068
2019-08-14T09:25:26.317Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,bitfinex,livecoin,1.6015
2019-08-14T09:25:26.319Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,kucoin,livecoin,2.398
2019-08-14T09:25:26.309Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,bittrex,livecoin,1.7246
2019-08-14T09:25:26.318Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,bitfinex,livecoin,1.9374
2019-08-14T09:25:26.306Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,okex,livecoin,2.2806
2019-08-14T09:25:26.308Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,bittrex,livecoin,1.6109
2019-08-14T09:25:26.305Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,okex,livecoin,1.8976
2019-08-14T09:25:26.306Z,USD,USDT/USD,ETH/USDT,ETH/USD,bitfinex,okex,livecoin,1.0323
2019-08-14T09:25:26.304Z,USD,USDT/USD,LTC/USDT,LTC/USD,bitfinex,binance,livecoin,1.0322
2019-08-14T09:25:26.304Z,USD,USDT/USD,BCH/USDT,BCH/USD,bitfinex,binance,livecoin,2.3353
2019-08-14T09:25:26.303Z,USD,USDT/USD,BTC/USDT,BTC/USD,bitfinex,binance,livecoin,1.9628
2019-08-14T09:25:26.302Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,gateio,livecoin,1.5199
2019-08-14T09:25:26.304Z,USD,USDT/USD,ETH/USDT,ETH/USD,bitfinex,binance,livecoin,1.1384
2019-08-14T09:25:26.301Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,kraken,livecoin,1.4287
