signal_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent,profit_loop_percent
2019-09-20T00:04:04.510Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,10.00000000,0.00001749,0.1000,138550.15780000,2423.85794400,8.82552504,0.3641,0.3244
2019-09-20T00:04:04.507Z,TRX/ETH,TRX,ETH,kucoin,hitbtc2,1.00000000,0.00010000,0.00000008,0.1000,1814.24410000,0.14389904,0.00014996,0.1042,-0.7084
2019-09-20T00:04:04.515Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01000000,0.00001749,0.1000,138550.15780000,2423.85794400,7.74107258,0.3194,-1.6849
2019-09-20T00:04:04.506Z,TRX/ETH,TRX,ETH,kucoin,binance,1.00000000,0.01000000,0.00000008,0.1000,5592.58250000,0.44389903,0.00070151,0.1580,0.1272
2019-09-20T00:09:04.481Z,TRX/ETH,TRX,ETH,kucoin,binance,1.00000000,0.01000000,0.00000008,0.1000,2241.14890000,0.17766035,0.00020685,0.1164,0.0644
2019-09-20T00:09:04.482Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,10.00000000,0.00001750,0.1000,138098.08370000,2417.26792034,6.62793603,0.2742,0.2386
2019-09-20T00:08:04.255Z,TRX/ETH,TRX,ETH,kucoin,hitbtc2,1.00000000,0.00010000,0.00000008,0.1000,874.74320000,0.06934964,0.00010361,0.1494,-0.7084
2019-09-20T00:09:04.483Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01000000,0.00001750,0.1000,138098.08370000,2417.26792034,4.75774472,0.1968,-1.7803
2019-09-20T00:13:04.045Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,10.00000000,0.00001750,0.1000,11434.45200000,200.11434445,0.27372935,0.1368,-0.0009
2019-09-20T00:11:04.288Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01000000,0.00001750,0.1000,138217.94850000,2419.28054347,2.67275059,0.1105,-1.884
2019-09-20T00:14:04.015Z,TRX/ETH,TRX,ETH,kucoin,binance,1.00000000,0.01000000,0.00000008,0.1000,31850.40910000,2.52469515,0.00380854,0.1509,0.0644
2019-09-20T00:19:04.998Z,TRX/ETH,TRX,ETH,kucoin,binance,1.00000000,0.01000000,0.00000008,0.1000,31536.00000000,2.49979257,0.00868659,0.3475,0.2282
2019-09-20T00:19:14.802Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,10.00000000,0.00001744,0.1000,143782.82650000,2507.27543411,6.96826599,0.2779,0.2636
2019-09-20T00:19:05.000Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01000000,0.00001744,0.1000,139439.97950000,2432.02535509,5.30115834,0.2180,-1.7727
2019-09-20T00:19:04.999Z,TRX/ETH,TRX,ETH,kucoin,hitbtc2,1.00000000,0.00010000,0.00000008,0.1000,8.96910000,0.00071080,0.00000074,0.1042,-0.7548
2019-09-20T00:21:04.326Z,TRX/ETH,TRX,ETH,kucoin,binance,1.00000000,0.01000000,0.00000008,0.1000,41617.32360000,3.30197921,0.00735093,0.2226,0.064
2019-09-20T00:21:04.327Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,10.00000000,0.00001744,0.1000,107729.45180000,1878.64564354,2.32419214,0.1237,0.0632
2019-09-20T00:20:04.740Z,TRX/ETH,TRX,ETH,kucoin,hitbtc2,1.00000000,0.00010000,0.00000008,0.1000,2766.77140000,0.21934964,0.00024211,0.1104,-0.7474
2019-09-20T00:20:04.741Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01000000,0.00001744,0.1000,66479.31720000,1159.48288953,2.06056591,0.1777,-1.6934
