_id,id,fees.coin,fees.name,fees.min_withdrawal,fees.withdrawal_fee
5d52e7047c1ce45855d99f47,binance,WABI,TAEL,22.6,11.3
5d52e7047c1ce45855d99f47,binance,SBTC,Super Bitcoin,0.001,0.0005
5d52e7047c1ce45855d99f47,binance,BCX,BitcoinX,0.5,0.5
5d52e7047c1ce45855d99f47,binance,WAVES,Waves,0.004,0.002
5d52e7047c1ce45855d99f47,binance,TNB,Time New Bank,804,402
5d52e7047c1ce45855d99f47,binance,GTO,Gifto,4.4,2.2
5d52e7047c1ce45855d99f47,binance,ICX,ICON,0.04,0.02
5d52e7047c1ce45855d99f47,binance,OST,OST,238,119
5d52e7047c1ce45855d99f47,binance,ELF,aelf,29.2,14.6
5d52e7047c1ce45855d99f47,binance,AION,AION,0.2,0.1
5d52e7047c1ce45855d99f47,binance,CVC,Civic,63.4,31.7
5d52e7047c1ce45855d99f47,binance,REP,Augur,0.4,0.2
5d52e7047c1ce45855d99f47,binance,GNT,Golem,46.4,23.2
5d52e7047c1ce45855d99f47,binance,DATA,Streamr DATAcoin,237.4,118.7
5d52e7047c1ce45855d99f47,binance,ETF,ETF,2,1
5d52e7047c1ce45855d99f47,binance,BRD,Bread,10.8,5.4
5d52e7047c1ce45855d99f47,binance,NEBL,Neblio,0.1,0.01
5d52e7047c1ce45855d99f47,binance,VIBE,VIBE,162.4,81.2
5d52e7047c1ce45855d99f47,binance,LUN,Lunyr,2.12,1.06
5d52e7047c1ce45855d99f47,binance,CHAT,ChatCoin,90.6,90.5
5d52e7047c1ce45855d99f47,binance,RLC,iExecRLC,10.2,5.1
5d52e7047c1ce45855d99f47,binance,INS,Insolar,11.2,5.6
5d52e7047c1ce45855d99f47,binance,IOST,Internet of Services,100,1
5d52e7047c1ce45855d99f47,binance,STEEM,Steem,0.02,0.01
5d52e7047c1ce45855d99f47,binance,NANO,NANO,1,0.01
5d52e7047c1ce45855d99f47,binance,AE,Aeternity,1,0.1
5d52e7047c1ce45855d99f47,binance,VIA,Viacoin,1,0.01
