
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > poloniex > kraken | profit: 1.0447106111356703 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > hitbtc > kraken | profit: 1.0090784156089683 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > binance > kraken | profit: 1.4165797024156745 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > kucoin > kraken | profit: 1.3793576915436176 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > gateio > kraken | profit: 1.0518813828554414 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > cointiger > kraken | profit: 1.237773352610219 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kucoin > binance > kraken | profit: 1.3017365720948533 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kucoin > kucoin > kraken | profit: 1.141156820058555 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | kucoin > binance > kraken | profit: 1.2824666295668834 %
BTC | BNB/BTC > ETC/BNB > ETC/BTC | kucoin > binance > kraken | profit: 1.0985723573486865 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > binance > kraken | profit: 1.2381194834851925 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > kucoin > kraken | profit: 1.2009629712547536 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > cointiger > kraken | profit: 1.0596277747416565 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | gateio > binance > kraken | profit: 1.063229841115728 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | livecoin > binance > kraken | profit: 1.0121432044375211 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > hitbtc > kraken | profit: 1.0060399652899008 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > binance > kraken | profit: 1.4096845565708236 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > kucoin > kraken | profit: 1.2489336893970346 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > bittrex | profit: 1.0255107407890733 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > kraken | profit: 1.0068963570540745 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > poloniex | profit: 1.0666175048705924 %
