created_at,base,exchange,ticket1,ticket2,ticket3,profit
2019-08-20T20:34:21.876Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0703
2019-08-20T20:34:22.061Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1158
2019-08-20T20:34:36.863Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1158
2019-08-20T20:34:52.872Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1054
2019-08-20T20:34:53.080Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0817
2019-08-20T20:35:07.909Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0862
2019-08-20T20:35:08.034Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0817
2019-08-20T20:35:22.149Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1085
2019-08-20T20:35:35.470Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0817
2019-08-20T20:35:37.756Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1129
2019-08-20T20:35:52.233Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.1431
2019-08-20T20:35:52.759Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1129
2019-08-20T20:36:06.595Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1129
2019-08-20T20:36:08.669Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.1596
2019-08-20T20:36:17.174Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.1442
2019-08-20T20:36:22.685Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1129
2019-08-20T20:36:37.823Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.074
2019-08-20T20:36:38.003Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.096
2019-08-20T20:36:54.067Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.1046
2019-08-20T20:37:09.065Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.1114
2019-08-20T20:37:20.911Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0807
2019-08-20T20:37:38.173Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0936
2019-08-20T20:37:50.990Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.1267
2019-08-20T21:07:16.971Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:07:32.486Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:07:47.220Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:08:15.584Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:08:32.798Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:08:42.019Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:09:03.594Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:09:15.650Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:09:47.992Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:10:02.258Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:10:31.639Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:10:47.378Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:10:57.440Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0571
2019-08-20T21:11:35.093Z,BTC,zb,BTC/USDT,DOGE/USDT,DOGE/BTC,0.1906
2019-08-20T21:11:49.457Z,BTC,zb,BTC/USDT,DOGE/USDT,DOGE/BTC,0.1906
