BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > coss | profit: 0.9743818851519848 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | poloniex > poloniex > kraken | profit: 0.6006384193346577 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | poloniex > binance > kraken | profit: 1.0142040585871825 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | poloniex > hitbtc > kraken | profit: 0.9279778677701671 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > bittrex > kraken | profit: 0.7302011498348975 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > poloniex > kraken | profit: 1.0408422419422578 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > hitbtc > kraken | profit: 0.8358891829506803 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | hitbtc > binance > livecoin | profit: 0.14520177862320338 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > binance > kraken | profit: 1.2945750543903358 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > kucoin > kraken | profit: 1.2559860794395803 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | hitbtc > kucoin > livecoin | profit: 0.15150061513988078 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > gateio > kraken | profit: 1.0370882469225506 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > cointiger > kraken | profit: 1.0096125319305003 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | hitbtc > bittrex > kraken | profit: 0.634586802886119 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | hitbtc > poloniex > kraken | profit: 0.3930888874535867 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | hitbtc > hitbtc > kraken | profit: 0.7219970411592556 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | hitbtc > binance > kraken | profit: 1.1352825526048065 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | hitbtc > binance > livecoin | profit: 0.09862056552020704 %
