signal_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent,profit_loop_percent
2019-09-16T00:00:01.972Z,BNB/BTC,BNB,BTC,hitbtc2,kucoin,0.01,1.9608999999999998e-05,1.9608999999999997e-08,0.1,0.6462,0.0012671335799999998,3.106024920000047e-06,0.24512213779387393,-0.4026
2019-09-16T00:01:51.524Z,BNB/BTC,BNB,BTC,hitbtc2,binance,0.01,1.9747e-05,1.9658000000000003e-08,0.1,1.01,0.0019854580000000003,3.023636999999578e-06,0.15228914436868357,-0.3625
2019-09-16T00:01:51.526Z,EOS/BTC,EOS,BTC,livecoin,binance,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,4.7132970359866525e-06,0.12313951422554537,-0.3521
2019-09-16T00:03:02.133Z,EOS/BTC,EOS,BTC,livecoin,binance,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,7.62473052215227e-06,0.1992035735133707,-0.3015
2019-09-16T00:03:11.822Z,EOS/BTC,EOS,BTC,livecoin,kucoin,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,4.325105904497301e-06,0.11299763965381959,-0.3875
2019-09-16T00:04:02.291Z,EOS/BTC,EOS,BTC,livecoin,binance,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,7.624730522151739e-06,0.19920357351335682,-0.3015
2019-09-16T00:04:31.716Z,EOS/BTC,EOS,BTC,livecoin,kucoin,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,4.8103448188583265e-06,0.12567498286845946,-0.3799
2019-09-16T00:05:32.379Z,EOS/BTC,EOS,BTC,livecoin,binance,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,7.62473052215227e-06,0.1992035735133707,-0.3268
2019-09-16T00:05:32.380Z,EOS/BTC,EOS,BTC,livecoin,kucoin,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,4.8103448188583265e-06,0.12567498286845946,-0.3749
2019-09-16T00:06:31.754Z,EOS/BTC,EOS,BTC,livecoin,binance,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,8.595208350873788e-06,0.22455825994263656,-0.2762
2019-09-16T00:06:31.755Z,EOS/BTC,EOS,BTC,livecoin,kucoin,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,6.071965996196991e-06,0.15863607522652312,-0.342
2019-09-16T00:07:32.866Z,EOS/BTC,EOS,BTC,livecoin,binance,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,7.624730522151739e-06,0.19920357351335682,-0.3015
2019-09-16T00:07:32.867Z,EOS/BTC,EOS,BTC,livecoin,kucoin,0.2687,0.00010587048699999999,1.05870487e-07,0.1,9.71449278,0.0038276073002478,7.2365393906629185e-06,0.18906169894164493,-0.3167
2019-09-16T00:08:33.056Z,BCH/ETH,BCH,ETH,kucoin,exmo,0.003,0.004799062191567461,1.5929404809244537e-07,0.1,0.37498218,0.5973242941473,0.0007329405400344326,0.12270395616182483,-0.0795
2019-09-16T00:08:51.829Z,LINK/BTC,LINK,BTC,hitbtc2,binance,1,0.00015700033546325878,1.56202322549493e-09,0.1,41.42,0.0064699002,1.3610940593291144e-05,0.21037326964164216,-0.8592
2019-09-16T00:09:41.572Z,ETH/BTC,ETH,BTC,livecoin,kucoin,0.0058,0.00010730000197251562,1.0730000197251563e-07,0.1,16.193908999999998,0.29958732200736865,0.0006446965733096898,0.21519487840471196,-0.5127
2019-09-16T00:11:12.033Z,LINK/BTC,LINK,BTC,hitbtc2,binance,1,0.00015682,1.5618000000000003e-09,0.1,10.6,0.001655508,1.8106919999997707e-06,0.1093737994621452,-0.9607
2019-09-16T00:11:21.594Z,BNB/BTC,BNB,BTC,hitbtc2,binance,0.01,1.9808e-05,1.9729e-08,0.1,4.08,0.008049432,8.051471999999118e-06,0.10002534340310121,-0.4045
2019-09-16T00:12:32.107Z,BNB/BTC,BNB,BTC,hitbtc2,binance,0.01,1.98241601537476e-05,1.9737816411682896e-08,0.1,7.19,0.014191490000000001,1.9444599393978728e-05,0.137015911606031,-0.3087
2019-09-16T00:12:32.117Z,LINK/BTC,LINK,BTC,hitbtc2,binance,1,0.00015695175824175824,1.56202322549493e-09,0.1,41.42,0.0064699002,1.1600884147252997e-05,0.17930545740493797,-0.8909
2019-09-16T00:13:21.837Z,XEM/BTC,XEM,BTC,kucoin,binance,1,4.5e-06,4.48e-09,0.1,8.7795,3.933216000000001e-05,9.675008999999677e-08,0.2459821428571346,-0.2723
2019-09-16T00:13:32.392Z,LINK/BTC,LINK,BTC,hitbtc2,binance,1,0.0001570084076433121,1.56202322549493e-09,0.1,41.42,0.0064699002,1.394495594140223e-05,0.21553587397533935,-0.8592
2019-09-16T00:14:01.775Z,BNB/BTC,BNB,BTC,hitbtc2,binance,0.01,1.9845026301946346e-05,1.9751251738525734e-08,0.1,7.19,0.014201150000000003,2.4753037188322983e-05,0.17430304720619794,-0.3191
2019-09-16T00:14:32.076Z,LINK/BTC,LINK,BTC,hitbtc2,binance,1,0.0001569058791208791,1.56202322549493e-09,0.1,41.42,0.0064699002,9.702471273626389e-06,0.14996322931884465,-0.9226
2019-09-16T00:15:02.032Z,LINK/BTC,LINK,BTC,livecoin,binance,1,0.00015678612953367877,1.0463169224244648e-07,0.1,502.46598846999996,0.0781535107297305,0.0004067308079268282,0.5204255114442391,0.0877
2019-09-16T00:15:21.773Z,LTC/BTC,LTC,BTC,livecoin,binance,0.0154,0.00010525370228022948,1.0525370228022948e-07,0.1,0.03124475,0.000213547117813,4.531537009762402e-07,0.21220314543091146,-0.277
2019-09-16T00:15:32.391Z,LINK/BTC,LINK,BTC,hitbtc2,binance,1,0.00015682,1.5618000000000003e-09,0.1,10.6,0.001655508,1.8106919999997707e-06,0.1093737994621452,-0.9734
2019-09-16T00:15:32.391Z,ETH/BTC,ETH,BTC,livecoin,binance,0.0058,0.00010730000365605044,1.0730000365605044e-07,0.1,74.19800000000001,1.372663046770971,0.0014764844318410175,0.10756350113119706,-0.5773
2019-09-16T00:15:32.391Z,ETH/BTC,ETH,BTC,livecoin,kucoin,0.0058,0.00010730000365605044,1.0730000365605044e-07,0.1,40.4682543,0.7486627300593067,0.0008162173102843194,0.10902336626529563,-0.5826
2019-09-16T00:15:32.392Z,LTC/BTC,LTC,BTC,livecoin,kucoin,0.0154,0.00010532400272733225,1.0532400272733225e-07,0.1,0.04598083,0.000314473056125,5.504440331827883e-07,0.17503694592009567,-0.3792
2019-09-16T00:15:42.392Z,ETH/BTC,ETH,BTC,livecoin,hitbtc2,0.0058,0.00010730000189676296,1.0730000189676296e-07,0.1,21.2864,0.3937984069612509,0.00042605520861876685,0.10819119658365961,-1.5698
2019-09-16T00:16:01.863Z,ETH/BTC,ETH,BTC,livecoin,poloniex,0.0058,0.00010730000432117432,1.0730000432117433e-07,0.1,87.21795744,1.61353227762,0.0017653654666530472,0.10940998771075128,-0.5766
2019-09-16T00:16:11.831Z,ETH/BTC,ETH,BTC,livecoin,bittrex,0.01314872,0.00024462869920642154,1.0730001151706667e-07,0.1,32.72395744,0.60539327762,0.0008161351231995875,0.13481073433918578,-0.55
2019-09-16T00:16:22.098Z,ETH/BTC,ETH,BTC,livecoin,kraken,0.02,0.00037215427127906375,1.0732093799999999e-07,0.1,0.012,0.00022204332,2.690041282429072e-07,0.12114939023741278,-0.5332
2019-09-16T00:16:32.371Z,LINK/BTC,LINK,BTC,hitbtc2,binance,1,0.00015683850652741514,1.56202322549493e-09,0.1,41.42,0.0064699002,6.914689025170214e-06,0.10687474012613385,-0.9607
2019-09-16T00:16:32.369Z,ETH/BTC,ETH,BTC,livecoin,binance,0.0058,0.00010747034599999999,1.0747034599999999e-07,0.1,0.00715613,0.0001325985805381,1.4080497280141294e-07,0.10618889902894169,-0.4408
2019-09-16T00:16:32.369Z,ETH/BTC,ETH,BTC,livecoin,kucoin,0.0058,0.00010750145873065378,1.0750145873065378e-07,0.1,0.15161287,0.0028101042564381,3.3542933023417793e-06,0.11936543972192182,-0.4139
2019-09-16T00:16:32.371Z,LTC/BTC,LTC,BTC,livecoin,binance,0.0154,0.00010525370228022948,1.0525370228022948e-07,0.1,0.03124475,0.000213547117813,3.490319140059761e-07,0.16344491912628767,-0.35
2019-09-16T00:16:42.147Z,LTC/BTC,LTC,BTC,livecoin,kucoin,0.0154,0.00010525370228022948,1.0525370228022948e-07,0.1,0.03124475,0.000213547117813,3.504295376994558e-07,0.1640993993683032,-0.3208
2019-09-16T00:17:32.450Z,LTC/BTC,LTC,BTC,livecoin,binance,0.0154,0.00010525370228022948,1.0525370228022948e-07,0.1,0.03124475,0.000213547117813,5.987358877745653e-07,0.28037647799061816,-0.2333
2019-09-16T00:17:32.450Z,LTC/BTC,LTC,BTC,livecoin,kucoin,0.0154,0.00010525370228022948,1.0525370228022948e-07,0.1,0.03124475,0.000213547117813,3.335488213332394e-07,0.15619448520270973,-0.3208
2019-09-16T00:18:12.143Z,LTC/BTC,LTC,BTC,livecoin,hitbtc2,0.0154,0.00010525370228022948,1.0525370228022948e-07,0.1,0.03124475,0.000213547117813,2.886427108360686e-07,0.13516581904365887,-1.3628
2019-09-16T00:18:31.809Z,LTC/BTC,LTC,BTC,livecoin,binance,0.0154,0.00010538019313394716,1.0538019313394716e-07,0.1,0.06206582,0.000424708318092,8.722987816366327e-07,0.2053877318804187,-0.1749
2019-09-16T00:18:31.810Z,LTC/BTC,LTC,BTC,livecoin,kucoin,0.0154,0.00010532400272733225,1.0532400272733225e-07,0.1,0.04598083,0.000314473056125,6.519452750725212e-07,0.2073135559230166,-0.2041
