opp_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent,profit_loop_percent
2019-09-14T00:00:17.407Z,XLM/BTC,XLM,BTC,exmo,livecoin,0.01,5.6000560467444004e-08,5.6000560467444004e-11,0.1,747.45780951,0.0041858056258327996,6.435493015259911e-06,0.15374562486951404,-0.346
2019-09-14T00:00:17.508Z,XLM/BTC,XLM,BTC,kraken,livecoin,30,0.00016769999999999998,1.677e-07,0.1,687.17,0.0038412802999999995,1.0535690440000198e-05,0.27427549194991574,-0.2271
2019-09-14T00:00:18.433Z,XLM/BTC,XLM,BTC,poloniex,livecoin,1e-06,5.5999999999999996e-12,5.5999999999999995e-15,0.1,687.17,0.0038481519999999996,4.030939220000026e-06,0.10475000000000068,-0.3961
2019-09-14T00:00:46.521Z,XLM/BTC,XLM,BTC,binance,livecoin,1,5.599839313927006e-06,5.5998393139270065e-09,0.1,1891.6460000000002,0.010592913638832767,2.7290486964400286e-05,0.2576296559650554,-0.0663
2019-09-14T00:00:46.778Z,XTZ/USDT,XTZ,USDT,kucoin,gateio,0.1,0.09708800000000001,9.708800000000002e-05,0.1,3.6023,3.4974010239999997,0.005038609055999781,0.14406723796967072,-0.1659
2019-09-14T00:00:47.027Z,XLM/BTC,XLM,BTC,kucoin,livecoin,0.1,5.602779880740086e-07,5.602779880740086e-10,0.1,1891.6460000000002,0.01059847615028246,2.1722413003257278e-05,0.2049578891837045,-0.2457
2019-09-14T00:00:48.109Z,XLM/BTC,XLM,BTC,gateio,livecoin,0.0001,5.6e-10,5.6e-13,0.1,500,0.0028,4.333000000000253e-06,0.15475000000000905,-0.3516
2019-09-14T00:00:49.026Z,XLM/BTC,XLM,BTC,bittrex,livecoin,38.34355828,0.00021472392636800002,2.1472392636800004e-07,0.1,687.17,0.0038481519999999996,4.030939220000026e-06,0.10475000000000068,-0.3962
2019-09-14T00:01:16.836Z,XLM/BTC,XLM,BTC,exmo,livecoin,0.01,5.6000560467444004e-08,5.6000560467444004e-11,0.1,747.45780951,0.0041858056258327996,6.435493015259911e-06,0.15374562486951404,-0.346
2019-09-14T00:01:17.540Z,XLM/BTC,XLM,BTC,kraken,livecoin,30,0.00016769999999999998,1.677e-07,0.1,687.17,0.0038412802999999995,1.0535690440000198e-05,0.27427549194991574,-0.2271
